               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.058771,            0.020293,                   0,             0.93256,                 0.9,             0.97833,             0.55525,            0.041133,           0.0060933,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.044195,            0.017851,                   0,             0.93256,                 0.9,             0.97833,             0.55525,            0.041133,           0.0060933,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.050745,            0.020042,                   0,             0.94479,                 0.9,             0.97192,             0.55955,            0.035942,           0.0064919,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.038912,            0.017824,                   0,             0.94479,                 0.9,             0.97192,             0.55955,            0.035942,           0.0064919,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.053578,            0.020142,                   0,             0.96033,                 0.9,             0.97192,             0.61824,            0.035632,           0.0064337,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.052369,            0.021106,                   0,             0.90466,             0.95125,             0.98591,             0.57683,            0.033733,           0.0062971,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.045702,            0.019989,                   0,             0.90466,             0.95125,             0.98591,             0.57683,            0.033733,           0.0062971,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.039081,            0.018347,                   0,             0.90728,             0.98013,             0.98591,             0.64184,            0.030541,           0.0062153,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.034219,            0.016618,                   0,             0.92838,                 0.9,             0.98591,             0.54484,            0.034195,           0.0057056,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.051493,            0.020426,                   0,             0.92838,                 0.9,             0.98591,             0.54484,            0.034195,           0.0057056,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.054077,             0.02017,                   0,                   1,             0.97004,               0.995,             0.65798,            0.032482,           0.0054023,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.030831,            0.015619,                   0,                   1,             0.97004,               0.995,             0.65798,            0.032482,           0.0054023,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.04368,            0.018023,                   0,                   1,             0.99384,               0.995,             0.65543,            0.028789,           0.0052567,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.040426,            0.017471,                   0,              0.9817,                   1,               0.995,             0.70407,            0.027789,           0.0050426,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028522,            0.015738,                   0,              0.9817,                   1,               0.995,             0.70407,            0.027789,           0.0050426,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.042383,             0.01633,                   0,             0.95043,                   1,               0.995,             0.65666,            0.024174,           0.0052285,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034858,            0.015648,                   0,             0.97959,                 0.9,             0.98591,             0.58459,            0.029047,           0.0046287,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.047814,            0.019021,                   0,             0.97959,                 0.9,             0.98591,             0.58459,            0.029047,           0.0046287,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.041942,            0.018588,                   0,             0.89012,                 0.9,              0.9475,             0.65369,            0.027477,           0.0046735,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026764,            0.016138,                   0,             0.89012,                 0.9,              0.9475,             0.65369,            0.027477,           0.0046735,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02955,            0.014422,                   0,             0.89663,             0.86967,             0.92262,             0.63033,            0.027693,           0.0048871,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.03957,            0.017147,                   0,             0.89719,             0.87473,               0.935,             0.46601,            0.024192,            0.005281,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.035799,            0.016203,                   0,             0.89719,             0.87473,               0.935,             0.46601,            0.024192,            0.005281,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.052376,            0.016391,                   0,             0.81681,                 0.9,             0.94382,             0.61265,             0.02137,           0.0052958,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.038552,            0.014217,                   0,             0.80837,                 0.9,             0.93763,             0.63319,             0.02529,           0.0049391,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.040533,            0.016537,                   0,             0.80837,                 0.9,             0.93763,             0.63319,             0.02529,           0.0049391,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.03033,            0.016429,                   0,               0.889,             0.80096,             0.95643,             0.65461,            0.019529,           0.0049891,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.028622,            0.013867,                   0,               0.889,             0.80096,             0.95643,             0.65461,            0.019529,           0.0049891,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.036996,            0.014002,                   0,             0.88633,                 0.9,             0.96833,             0.66031,             0.01854,           0.0049419,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.042079,            0.016147,                   0,             0.99703,                 0.9,             0.98591,             0.42908,            0.021145,           0.0049543,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.041589,             0.01474,                   0,             0.99703,                 0.9,             0.98591,             0.42908,            0.021145,           0.0049543,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.026129,            0.014792,                   0,             0.99682,                 0.9,             0.98591,             0.52602,            0.019792,           0.0048337,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.030173,             0.01406,                   0,             0.88502,                 0.9,             0.96833,             0.54759,            0.021067,           0.0045767,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.039279,            0.013981,                   0,             0.88502,                 0.9,             0.96833,             0.54759,            0.021067,           0.0045767,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.034416,            0.014651,                   0,             0.90838,             0.99219,             0.97682,             0.61071,            0.018904,           0.0045438,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.041535,            0.015096,                   0,             0.90838,             0.99219,             0.97682,             0.61071,            0.018904,           0.0045438,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.034839,            0.015418,                   0,             0.90526,                   1,             0.98591,             0.61651,            0.019507,           0.0045352,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.046369,            0.013643,                   0,             0.99155,                   1,               0.995,             0.67454,            0.019486,           0.0045595,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.032543,            0.015651,                   0,             0.99155,                   1,               0.995,             0.67454,            0.019486,           0.0045595,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.027208,            0.011237,                   0,             0.98677,                   1,               0.995,             0.64276,            0.018601,           0.0046082,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.03396,            0.016157,                   0,             0.98702,                   1,               0.995,             0.66571,            0.017202,           0.0046291,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.035166,            0.013939,                   0,             0.98702,                   1,               0.995,             0.66571,            0.017202,           0.0046291,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.028731,            0.015234,                   0,             0.98834,                   1,               0.995,             0.65609,            0.018003,           0.0046897,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022993,            0.013825,                   0,             0.98834,                   1,               0.995,             0.65609,            0.018003,           0.0046897,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020091,            0.013811,                   0,             0.99209,                   1,               0.995,             0.66077,            0.018504,           0.0046885,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.030829,            0.013734,                   0,             0.99392,                   1,               0.995,             0.70892,            0.017169,           0.0045841,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.035565,            0.014183,                   0,             0.99392,                   1,               0.995,             0.70892,            0.017169,           0.0045841,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.034118,            0.011885,                   0,             0.99326,                   1,               0.995,             0.73381,            0.016946,           0.0045559,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.03128,            0.014497,                   0,             0.99328,                   1,               0.995,             0.68924,              0.0196,           0.0045679,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.03213,            0.015426,                   0,             0.99328,                   1,               0.995,             0.68924,              0.0196,           0.0045679,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.027811,            0.012441,                   0,             0.99325,                   1,               0.995,             0.73686,            0.016142,            0.004482,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020671,            0.011685,                   0,             0.99325,                   1,               0.995,             0.73686,            0.016142,            0.004482,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029177,            0.013218,                   0,             0.99238,                   1,               0.995,             0.72581,            0.016201,           0.0044756,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.038151,            0.013924,                   0,             0.99389,                   1,               0.995,             0.72631,            0.015688,           0.0044601,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.025815,            0.012668,                   0,             0.99389,                   1,               0.995,             0.72631,            0.015688,           0.0044601,                   0,            0.000991,            0.000991,            0.000991
                  93,              0.0257,            0.011624,                   0,             0.99375,                   1,               0.995,             0.74116,            0.015381,           0.0044315,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.026586,            0.015478,                   0,             0.99445,                   1,               0.995,             0.73271,            0.015613,           0.0044305,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.020488,            0.012933,                   0,             0.99445,                   1,               0.995,             0.73271,            0.015613,           0.0044305,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.024175,            0.014256,                   0,             0.99473,                   1,               0.995,             0.73326,            0.015496,           0.0044019,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.023758,             0.01246,                   0,             0.99473,                   1,               0.995,             0.73326,            0.015496,           0.0044019,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.032149,             0.01532,                   0,             0.99444,                   1,               0.995,               0.733,            0.015501,           0.0043819,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.031477,            0.013575,                   0,             0.99308,                   1,               0.995,             0.74006,            0.015349,           0.0043757,                   0,            0.000298,            0.000298,            0.000298
